Relatos,Relatos_Traduzidos
"Bom, o começo é sempre difícil e conturbado, porém a gente se acostuma. Não ter o gostinho das aulas presenciais, por enquanto, tem peso nisso, mas espero que consiga me adaptar e aprender muito.","Well, the beginning is always difficult and troubled, but we get used to it.Do not have the taste of face-to-face class, for now, you're weight on it, but I hope you can adapt and learn a lot."
"Nesse ano que se inicia acredito que viram muitos desafios com essa nova forma de aprendizado, mas também acredito que vira muito conhecimento. Nessa nova modalidade espero que consiga atender todas as atividades e trabalhos cobrados, espero que aja uma certa paciência dos professores comigo , porque até ano passado o ensino não era tão aprofundado , espero  atividades diferenciadas, apesar que sou um pouco tímido ,  e um ensino de qualidade
","This year I begun I believe they saw many challenges with this new form of learning, but I also believe it becomes a lot of knowledge.In this new modality I hope you can meet all the activities and work charged, I hope you will act a certain patience of teachers with me, because until last year the teaching was not so deepened, I expect differentiated activities, although I am a little shy, and a teachingquality"
"Como eu já disse, nunca vai ser igual o ensino presencial, mas tenho grandes expectativas que vai da certo no IF, assim como deu certo no período do terceiro ano que me trouxe a nota para entrar no curso.","As I have already said, it will never be equal to face-to-face teaching, but I have great expectations that goes right in IF, just as it worked out in the third year period that brought me the note to enter the course."
"Minhas expectativas quanto ao ensino médio remoto:

Minhas expectativas com relação ao ensino remoto, é que os estudantes possam desenvolver-se bem e conseguir suprir suas necessidades. Espero que os ensinamentos sejam passados e assim absorvidos pelos alunos, que aqueles que nunca tiveram acesso ou ainda não sabem utilizar da maneira certa as plataformas de estudo possam usá-las de forma mais proveitosa, que o ano letivo remoto possa nos ensinar e auxiliar tanto quanto o presencial e que os aprendizes possam construir um laço afetuoso com os professores e outros funcionários
","My expectations regarding remote high school:

My expectations regarding remote education is that students can develop well and to supply their needs.I hope that the teachings are passed and thus absorbed by the students, that those who have never accessed or do not know how to use the right way the study platforms can use them more fruitful, that the remote school year can teach us bothAs for the face-to-face and that apprentices can build an affectionate tie with teachers and other employees"
"Devido à pandemia, a alternativa mais eficaz de estudo para contornar o problema é a utilização de plataformas online à distância, plataformas como Google classrom, Whatsapp, entre outras. São ferramentas de fácil acessibilidade e manuseio, mais práticas e rápidas para aprendizado e resolução de atividades . Portanto, no meu ponto de vista, tenho expectativa de que o ensino remoto vai ser de extrema importância como ferramenta de estudo nesses tempos difíceis, além de ser ótimo para aprendizado.","Due to the pandemic, the most effective alternative study to work around the problem is the use of online platforms, platforms like Google Classrom, WhatsApp, among others.They are easy accessibility and handling tools, more practical and fast for learning and activity resolution.Therefore, in my point of view, I have an expectation that remote education will be extremely important as a study tool in these difficult times, as well as being great for learning."
"Eu espero que seja organizado pra não sobrecarregar o aluno nem o professor,e me sinto confiante que isso possa funcionar até o retorno das presenciais","I hope it is organized not to overload the student or the teacher, and I feel confident that this can work until the return of the face-to-face"
Conseguir compreender os assuntos de forma clara.,To understand the subjects clearly.
"Acredito que com a experiência do ano passado, já foi planejado uma forma mais fácil para todos conseguirem seguir o ensino remoto, e que esse ano esta preparado para ser melhor. Mesmo com todas as dificuldades, esta sendo feito o melhor ate que volte as aulas presenciais.  ","I believe that with the experience of last year, it has been planned an easier way for everyone to follow remote education, and that this year is prepared to be better.Even with all the difficulties, it is being done the best until the face-to-face classes."
"Espero que possa disponibilizar um ensino de qualidade e acesso a todos, que seja capaz de compreender que é um ensino difícil para o aluno, tanto para se concentrar na aula, quanto para entender o conteúdo passado e que a comunicação de professor para alunos é algo difícil.","I hope it can make quality teaching and access to everyone, which is able to understand that it is a difficult teaching for the student, both to focus on class, and to understand past content and that teacher communication for students is something difficult."
"Aula online na minha opinião são um desafio, especialmente para aqueles alunos que tem dificuldades em utilizar as redes sociais ou assim como eu, tenho problemas em me concentrar. E também os professores não conseguem dar muita atenção a todos os alunos, diferente das aulas presenciais, e isso acaba prejudicando. Mas não temos muita escolha. Então, espero um ano em que todos consigam acompanhar os conteúdos, um ano de muito aprendizado. ","Online class in my opinion are a challenge, especially for those students who have difficulties in using social networks or just like me, I have problems focusing on.And teachers can not pay much attention to all students, different from face-to-face classes, and this ends up hurting.But we do not have much choice.So I hope a year when everyone can accompany the contents, a year of much learning."
"    As minhas sinceras expectativas ao ensino a distância no IFPB (AENP), são que com a utilização das plataformas do Google como: o Class Room e o Meet, possamos ter aulas bastante interativas e que nos forneça bastante conhecimento. Para que o ensino remoto não prejudique a educação dos alunos.
    Eu particularmente prefiro as aulas presencias pelo contato ser mais direto com os professores, assim facilitando o aprendizado.
    Enfim espero que com a tecnologia possamos estudar até que a Instituição IFPB volte presencialmente com as aulas.
","My sincere expectations for distance learning in IFPB (AENP), are that with the use of google platforms such as: the class room and the Meet, we can take rather interactive classes and that provides us with a lot of knowledge.So that remote education does not prejudice the education of students.
    I particularly prefer the classes for the contact to be more direct with the teachers, thus facilitating learning.
    Finally I hope that with the technology we can study until the IFPB institution will come in person with classes."
"Bom,as minhas expectativas são bem altas enquanto ao ensino remoto,pois apesar de ser bem difícil lidar com a falta de aulas presencias,o ensino remoto é a melhor forma de estudo utilizado em meio a pandemia,enfim espero que eu consiga ter um grau de aprendizagem igualmente como se estivesse nas aulas presencias.","Well, my expectations are very high while at remote education, because despite being very difficult to deal with the lack of classes presence, remote teaching is the best form of study used amid the pandemic, anyway I hope I can have a degreeLearning equally as if in the presence classes."
"No momento atual será a única forma viável de prosseguir com os estudos, portanto tudo que é ""novo"" causa receio. Imagino que será algo bastante desafiador para ambas as partes. Visto que é uma medida temporária que foi tomada, para minimizar os impactos da pandemia no que se refere ao âmbito acadêmico. Sendo assim, sigo confiante pelo fato de ver a instituição trabalhando de forma intensa para garantir a educação dos seus alunos. Sinto-me seguro por confiar na instituição, que não deixará que nosso rendimento tenha um déficit","At the present time it will be the only viable way to proceed with studies, so all that is ""new"" cause fears.I imagine it will be quite challenging for both parties.Since it is a temporary measure that was taken, to minimize the impacts of the pandemic with regard to the academic scope.So I follow confident by seeing the institution working intensely to ensure the education of their students.I feel safe for trusting the institution, which will not let our income have a deficit"
"Bom, início dizendo que estava bastante ansioso para a volta às aulas, porém lamentando muito o fato de que, devido à pandemia, não  poderemos iniciar o ano letivo com aulas presenciais. 
    Minhas expectativas em relação ao início das aulas são as melhores possíveis, tendo em vista que irei conhecer tanto matérias novas, como professores novos. Porém, mesmo animado com tudo isso, confesso não gostar do ensino remoto, e acredito que devido à esse método de ensino, esse será um ano trabalhoso e bastante cansativo. 
","Well, beginning that he was quite anxious to return to class, but greatly regretting the fact that, due to the pandemic, we can not start the school year with face-to-face classes.
    My expectations regarding the beginning of classes are the best possible, considering that I will know both new subjects, as new teachers.However, even excited about all this, I confess not to like remote education, and I believe that because of this method of teaching, this will be a yearful year and quite tiring."
"Tenho como expectativa no ensino remoto, poder me comunicar, compartilhar conhecimento e aprender com os professores, de forma que seja o mais proveitoso possível, com perdas mínimas ou nulas de qualidade com base no ensino presencial.

Mesmo passando por dificuldades em meio a pandemia, tenho como objetivo contornar essa situação, me qualificar e usufruir do máximo possível desse modelo de ensino não presencial.
","I have as expected in remote education, to communicate, share knowledge and learn from teachers, so that it is as useful as possible, with minimum or null quality losses based on face-to-face education.

Even though difficulties in the pandemic, I aim to circumvent this situation, qualify and enjoy the maximum possible of this non-face-to-face teaching model."
"Enquanto só ensino remoto as minhas expectativas são as melhores possíveis,apesar de preferir o ensino presencial,pretendo prestar bastante atenção nas aulas e em caso de dúvidas procurarei pesquisar ou relatá-la com colegas ou professores.","While only remote education my expectations are the best possible, despite preferring face-to-face teaching, I intend to pay close attention to classes and in case of doubts I will seek to research or report it with colleagues or teachers."
"Eu prefiro as atividades presenciais, acredito que no ensino presencial conseguimos manter mais a nossa atenção e entender mais o conteúdo, do que na forma online, eu me sinto nervosa e com medo de não conseguir me concentrar o suficiente nas aulas, mas darei o meu melhor para que eu consiga compreender o conteúdo.","I prefer to face-to-face activities, I believe that in the face-to-face teaching we managed to keep our attention more and understand more content, than in the online form, I feel nervous and afraid of not being able to concentrate enough in class, but I will give mineBest so I can understand the content."
"Espero ter ensino de qualidade, onde a aprenda coisas novas e legais apesar da dificuldade ","I hope to have quality teaching, where you learn new and legal things despite the difficulty"
"Sou do curso de informática, tenho bastante dúvidas mais eu estou achando bom a pensar de ser um pouco difícil de fazerem as coisas pelo o cllr a tecnológica hoje em dia mais enfim espero conseguir tirar todas as minhas dúvidas.","I am from the computer course, I have a lot of doubt more I am finding good to think of being a bit difficult to do things for the CLLR the technological today anymore I hope to get all my doubts."
"Eu estava ansiosa pra ser presencial mais nesse momento de pandemia não será possível, como sou nova esse ano queria conhecer a escola e os professores mais infelizmente não vai ser possível, espero que seja um ano letivo de conhecer coisas novas e aprender muito, ","I was anxious to be face-to-face more in this moment of pandemic will not be possible, as I am new this year I wanted to meet the school and the teachers more unfortunately will not be possible, I hope it is a school year to meet new things and learn a lot"
"     Minhas expectativas para o ensino remoto é que eu consiga ter um bom desempenho, tirar minhas dúvidas e aprender muito . As aulas não presenciais são um pouco difíceis para ter concentração , mas com dedicação da para ter um bom aprendizado.","My expectations for remote teaching is that I can get a good performance, take my doubts and learn a lot.Non-face-to-face classes are a bit difficult to concentrate, but with dedication to having a good learning."
