Relatos,Relatos_Traduzidos,Relatos_tokenizados,Relatos_Traduzidos_Lematizados,Relatos_com_SentiStrength
"Bom, o começo é sempre difícil e conturbado, porém a gente se acostuma. Não ter o gostinho das aulas presenciais, por enquanto, tem peso nisso, mas espero que consiga me adaptar e aprender muito.","Well, the beginning is always difficult and troubled, but we get used to it.Do not have the taste of face-to-face class, for now, you're weight on it, but I hope you can adapt and learn a lot.",well beginning always difficult troubled get used taste class weight i hope adapt learn lot ,well beginning always difficult troubled get used taste class weight i hope adapt learn lot ,1
"Nesse ano que se inicia acredito que viram muitos desafios com essa nova forma de aprendizado, mas também acredito que vira muito conhecimento. Nessa nova modalidade espero que consiga atender todas as atividades e trabalhos cobrados, espero que aja uma certa paciência dos professores comigo , porque até ano passado o ensino não era tão aprofundado , espero  atividades diferenciadas, apesar que sou um pouco tímido ,  e um ensino de qualidade
","This year I begun I believe they saw many challenges with this new form of learning, but I also believe it becomes a lot of knowledge.In this new modality I hope you can meet all the activities and work charged, I hope you will act a certain patience of teachers with me, because until last year the teaching was not so deepened, I expect differentiated activities, although I am a little shy, and a teachingquality",this year i begun i believe saw many challenges new form learning i also believe becomes lot new modality i hope meet activities work charged i hope act certain patience teachers last year teaching deepened i expect differentiated activities although i little shy teachingquality ,this year i begun i believe saw many challenges new form learning i also believe becomes lot new modality i hope meet activities work charged i hope act certain patience teachers last year teaching deepened i expect differentiated activities although i little shy teachingquality ,0
"Como eu já disse, nunca vai ser igual o ensino presencial, mas tenho grandes expectativas que vai da certo no IF, assim como deu certo no período do terceiro ano que me trouxe a nota para entrar no curso.","As I have already said, it will never be equal to face-to-face teaching, but I have great expectations that goes right in IF, just as it worked out in the third year period that brought me the note to enter the course.",as i already said never equal teaching i great expectations goes right if worked third year period brought note enter course ,as i already said never equal teaching i great expectations goes right if worked third year period brought note enter course ,2
"Minhas expectativas quanto ao ensino médio remoto:

Minhas expectativas com relação ao ensino remoto, é que os estudantes possam desenvolver-se bem e conseguir suprir suas necessidades. Espero que os ensinamentos sejam passados e assim absorvidos pelos alunos, que aqueles que nunca tiveram acesso ou ainda não sabem utilizar da maneira certa as plataformas de estudo possam usá-las de forma mais proveitosa, que o ano letivo remoto possa nos ensinar e auxiliar tanto quanto o presencial e que os aprendizes possam construir um laço afetuoso com os professores e outros funcionários
","My expectations regarding remote high school:

My expectations regarding remote education is that students can develop well and to supply their needs.I hope that the teachings are passed and thus absorbed by the students, that those who have never accessed or do not know how to use the right way the study platforms can use them more fruitful, that the remote school year can teach us bothAs for the face-to-face and that apprentices can build an affectionate tie with teachers and other employees",my expectations regarding remote high school my expectations regarding remote education students develop well supply hope teachings passed thus absorbed students never accessed know use right way study platforms use fruitful remote school year teach us bothas apprentices build affectionate tie teachers employees ,my expectations regarding remote high school my expectations regarding remote education students develop well supply hope teachings passed thus absorbed students never accessed know use right way study platforms use fruitful remote school year teach us bothas apprentices build affectionate tie teachers employees ,2
"Devido à pandemia, a alternativa mais eficaz de estudo para contornar o problema é a utilização de plataformas online à distância, plataformas como Google classrom, Whatsapp, entre outras. São ferramentas de fácil acessibilidade e manuseio, mais práticas e rápidas para aprendizado e resolução de atividades . Portanto, no meu ponto de vista, tenho expectativa de que o ensino remoto vai ser de extrema importância como ferramenta de estudo nesses tempos difíceis, além de ser ótimo para aprendizado.","Due to the pandemic, the most effective alternative study to work around the problem is the use of online platforms, platforms like Google Classrom, WhatsApp, among others.They are easy accessibility and handling tools, more practical and fast for learning and activity resolution.Therefore, in my point of view, I have an expectation that remote education will be extremely important as a study tool in these difficult times, as well as being great for learning.",due pandemic effective alternative study work around problem use online platforms platforms like google classrom whatsapp among easy accessibility handling tools practical fast learning activity point view i expectation remote education extremely important study tool difficult times well great learning ,due pandemic effective alternative study work around problem use online platforms platforms like google classrom whatsapp among easy accessibility handling tools practical fast learning activity point view i expectation remote education extremely important study tool difficult times well great learning ,1
"Eu espero que seja organizado pra não sobrecarregar o aluno nem o professor,e me sinto confiante que isso possa funcionar até o retorno das presenciais","I hope it is organized not to overload the student or the teacher, and I feel confident that this can work until the return of the face-to-face",i hope organized overload student teacher i feel confident work return ,i hope organized overload student teacher i feel confident work return ,2
Conseguir compreender os assuntos de forma clara.,To understand the subjects clearly.,to understand subjects clearly ,to understand subjects clearly ,0
"Acredito que com a experiência do ano passado, já foi planejado uma forma mais fácil para todos conseguirem seguir o ensino remoto, e que esse ano esta preparado para ser melhor. Mesmo com todas as dificuldades, esta sendo feito o melhor ate que volte as aulas presenciais.  ","I believe that with the experience of last year, it has been planned an easier way for everyone to follow remote education, and that this year is prepared to be better.Even with all the difficulties, it is being done the best until the face-to-face classes.",i believe experience last year planned easier way everyone follow remote education year prepared difficulties done best classes ,i believe experience last year planned easier way everyone follow remote education year prepared difficulties done best classes ,0
"Espero que possa disponibilizar um ensino de qualidade e acesso a todos, que seja capaz de compreender que é um ensino difícil para o aluno, tanto para se concentrar na aula, quanto para entender o conteúdo passado e que a comunicação de professor para alunos é algo difícil.","I hope it can make quality teaching and access to everyone, which is able to understand that it is a difficult teaching for the student, both to focus on class, and to understand past content and that teacher communication for students is something difficult.",i hope make quality teaching access everyone able understand difficult teaching student focus class understand past content teacher communication students something difficult ,i hope make quality teaching access everyone able understand difficult teaching student focus class understand past content teacher communication students something difficult ,1
"Aula online na minha opinião são um desafio, especialmente para aqueles alunos que tem dificuldades em utilizar as redes sociais ou assim como eu, tenho problemas em me concentrar. E também os professores não conseguem dar muita atenção a todos os alunos, diferente das aulas presenciais, e isso acaba prejudicando. Mas não temos muita escolha. Então, espero um ano em que todos consigam acompanhar os conteúdos, um ano de muito aprendizado. ","Online class in my opinion are a challenge, especially for those students who have difficulties in using social networks or just like me, I have problems focusing on.And teachers can not pay much attention to all students, different from face-to-face classes, and this ends up hurting.But we do not have much choice.So I hope a year when everyone can accompany the contents, a year of much learning.",online class opinion challenge especially students difficulties using social networks like i problems focusing teachers pay much attention students different classes ends much i hope year everyone accompany contents year much learning ,online class opinion challenge especially students difficulties using social networks like i problems focusing teachers pay much attention students different classes ends much i hope year everyone accompany contents year much learning ,1
